G,GS,MPG,FG%,3p%,FT%,OFF,DEF,RPG,APG,SPG,BPG,TO,PF,PPG,Class
220,198,31.2,440,377,798,0.8,2.5,3.3,5,1.4,0.3,2.3,2.2,11.9,1
52,0,10.3,372,263,810,0.3,1,1.3,1.3,0.5,0.1,1,0.9,4.8,1
615,615,37.7,461,331,737,1.1,4.8,5.8,4.9,1.8,0.5,2.4,2.1,15.3,1
51,51,30.5,469,399,872,0.9,2.9,3.7,5.4,1.1,0.4,3.1,2.2,18.5,1
437,109,12.5,404,347,713,0.3,0.8,1.1,1.1,0.5,0.1,0.5,1.6,3.4,1
532,249,27.6,447,350,853,0.3,2.4,2.7,4.2,0.8,0.1,1.9,1.9,10.8,1
45,0,11.1,321,210,862,0.3,0.9,1.2,1.6,0.6,0,0.8,0.7,3.1,1
794,670,33,416,337,800,0.8,3.2,4,3.2,1.3,0.4,2.6,2.4,15.9,1
539,263,24.9,420,379,803,0.4,1.9,2.3,3.6,0.8,0.1,1.6,2,10.4,1
51,28,17.5,447,150,872,0.2,1.2,1.3,3.3,0.6,0.1,1.2,1.7,5.8,1
211,209,34,393,345,811,0.7,2.9,3.5,5.4,1.4,0.3,2.3,2.1,16.8,1
47,0,8.5,458,400,679,0.3,0.8,1,1.2,0.2,0,0.9,0.9,3.3,1
831,761,36.7,444,368,797,1,3.2,4.2,4.4,1,0.2,2.2,1.9,17.8,1
144,127,24.6,398,341,698,0.5,2.4,2.9,1.4,0.6,0.7,1.1,1.9,7.7,1
511,138,16.8,447,354,748,0.4,1.4,1.9,0.9,0.5,0.3,0.9,2.1,6,1
51,1,7.7,364,83,796,0.3,1.1,1.4,1.2,0.3,0.2,0.8,0.7,2.5,1
498,83,18.3,401,402,855,0.4,1.8,2.2,0.6,0.4,0.4,0.4,1.5,6,1
29,1,9.1,314,200,647,0.2,0.7,0.9,1.2,0.2,0.1,0.4,0.6,2,1
2,0,29,417,500,0,0.5,3,3.5,1.5,1,0,1.5,3.5,6,1
1315,1302,36.6,401,349,784,1.3,5.1,6.4,9,2,0.3,3,1.9,13,1
389,62,20.1,441,337,759,1,2.7,3.6,0.8,0.4,0.2,1,2.2,8.8,1
66,60,32.2,415,380,759,0.5,2.7,3.2,3.8,0.7,0.2,2.6,2.3,12.8,1
664,110,24.2,431,413,877,0.3,2.5,2.8,1.6,0.7,0.3,1,2.2,9.5,1
206,100,26.9,499,388,785,0.8,1.9,2.7,4.8,1,0.1,1.8,1.5,12,1
287,135,27.2,439,386,832,0.5,2.2,2.8,1.4,1,0.3,1,1.7,10,1
19,0,12.8,390,200,824,0.5,0.9,1.4,1.6,0.4,0.2,0.9,1.2,3.3,1
64,39,24,493,376,773,1.6,3.5,5.1,1.1,1.3,0.4,0.7,1.4,7.9,1
10,0,4.5,357,0,444,0.6,0.3,0.9,0.5,0.2,0.2,0.2,0.4,1.4,1
17,0,6.8,480,0,474,0.4,0.5,0.9,0.3,0.4,0,0.6,0.4,1.9,1
64,25,19.1,437,313,793,0.5,1.7,2.2,4,1.4,0.3,2.2,1.7,9.2,1
324,106,22.6,460,231,778,0.6,1.9,2.6,3.5,0.7,0.4,1.6,2,6.8,1
359,139,26.9,420,330,783,0.8,2.6,3.5,4.8,1.1,0.2,1.8,2.4,10.4,1
111,2,11,398,344,811,0.3,0.8,1.1,1.4,0.4,0,0.6,0.8,5,1
64,0,12.2,400,286,712,0.2,1.3,1.4,2,0.4,0,0.8,0.8,3.6,1
475,387,31.3,443,377,865,0.6,2.8,3.5,2.1,0.9,0.1,1.8,2,18.4,1
230,170,30.5,445,393,844,0.7,2.3,2.9,1.7,1.1,0.2,1.3,2.2,12.9,1
172,2,15.1,408,353,733,0.3,1.2,1.5,3.1,0.5,0.1,1,1.3,4.5,1
301,181,32.8,433,375,817,0.6,2.7,3.3,2.7,1.1,0.3,2.1,2.1,15.2,1
200,114,22.1,411,371,884,0.2,1.9,2.2,0.9,0.6,0.1,0.6,1.2,8.1,1
389,159,19.3,419,329,787,0.5,1.7,2.2,1.3,0.7,0.3,0.9,2.3,8.4,1
